Year,Period,Area,Income Source,Income Type,Income
2015,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,091"
2015,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$830,092"
2014,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$30,842"
2014,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$78,752"
2022,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,415"
2022,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$127,195,983"
2021,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,468"
2021,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$126,261,006"
2020,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,265"
2020,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$116,939,915"
2019,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,073"
2019,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$103,614,307"
2018,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,582"
2018,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$96,994,918"
2017,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,060"
2017,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$92,451,456"
2016,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,050"
2016,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$88,997,439"
2015,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,590"
2015,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$84,597,340"
2014,Annual,Riverside County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$23,783"
2014,Annual,Riverside County,U.S. BEA - Local Data,Total Personal Income - BEA,"$80,935"
2022,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,558"
2022,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$97,517,936"
2021,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,775"
2021,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$98,105,641"
2020,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,243"
2020,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$90,813,891"
2019,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,561"
2019,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$82,815,002"
2018,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,314"
2018,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$78,526,608"
2017,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,299"
2017,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$74,690,008"
2016,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,904"
2016,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$71,627,441"
2015,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,866"
2015,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$69,100,516"
2014,Annual,Sacramento County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$27,315"
2014,Annual,Sacramento County,U.S. BEA - Local Data,Total Personal Income - BEA,"$83,633"
2022,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,693"
2022,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,169,135"
2021,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,148"
2021,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,143,744"
2020,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,893"
2020,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,864,377"
2019,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,993"
2019,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,411,723"
2018,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,108"
2018,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,094,215"
2017,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,563"
2017,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,936,976"
2016,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,235"
2016,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,751,653"
2015,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,028"
2015,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,574,650"
2014,Annual,San Benito County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$27,239"
2014,Annual,San Benito County,U.S. BEA - Local Data,Total Personal Income - BEA,"$91,649"
2022,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,270"
2022,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$108,081,645"
2021,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,570"
2021,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$108,700,135"
2020,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,968"
2020,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$100,359,889"
2019,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,079"
2019,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$89,182,422"
2018,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,663"
2018,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$83,514,331"
2017,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,311"
2017,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$80,031,472"
2016,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,422"
2016,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$77,453,102"
2015,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,179"
2015,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$74,258,677"
2014,Annual,San Bernardino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,352"
2014,Annual,San Bernardino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$74,631"
2022,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,326"
2022,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$243,506,541"
2021,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$240,216,669"
2021,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$73,350"
2020,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,536"
2020,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$222,600,097"
2019,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,034"
2019,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$204,586,175"
2018,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$194,949,226"
2018,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,014"
2017,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,969"
2017,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$187,630,531"
2016,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,074"
2016,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$180,838,809"
2015,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$174,081,824"
2015,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,357"
2014,Annual,San Diego County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$31,266"
2014,Annual,San Diego County,U.S. BEA - Local Data,Total Personal Income - BEA,"$97,900"
2022,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$155,819"
2022,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$125,970,097"
2021,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$159,968"
2021,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$129,774,521"
2020,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$134,758"
2020,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$117,292,346"
2019,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$127,173"
2019,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$112,133,213"
2018,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$126,940"
2018,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$111,996,017"
2017,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$117,290"
2017,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$103,185,030"
2016,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$110,451"
2016,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$96,454,751"
2015,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$103,625"
2015,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$89,619,269"
2014,Annual,San Francisco County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,220"
2014,Annual,San Francisco County,U.S. BEA - Local Data,Total Personal Income - BEA,"$139,927"
2022,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,183"
2022,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$42,979,635"
2021,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,827"
2021,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$43,999,624"
2020,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,317"
2020,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$40,056,124"
2019,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,239"
2019,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$34,952,093"
2018,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,320"
2018,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,261,357"
2017,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,888"
2017,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$30,735,741"
2016,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,777"
2016,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$29,427,807"
2015,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,463"
2015,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$27,994,154"
2014,Annual,San Joaquin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$22,645"
2014,Annual,San Joaquin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$76,764"
2022,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,951"
2022,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$19,162,980"
2021,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$68,717"
2021,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$19,192,484"
2020,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$63,024"
2020,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,765,128"
2019,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,963"
2019,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$16,665,789"
2018,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,473"
2018,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$15,708,604"
2017,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,626"
2017,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$15,144,287"
2016,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,118"
2016,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$14,406,406"
2015,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,914"
2015,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$13,980,423"
2014,Annual,San Luis Obispo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$31,060"
2014,Annual,San Luis Obispo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$94,947"
2022,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$175,070"
2022,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$127,657,596"
2021,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$174,668"
2021,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$129,090,019"
2020,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$141,882"
2020,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$108,186,874"
2019,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$128,875"
2019,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$99,027,638"
2018,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$123,303"
2018,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$95,143,957"
2017,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$114,013"
2017,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$87,958,938"
2016,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$103,798"
2016,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$79,961,246"
2015,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$99,076"
2015,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$76,041,603"
2014,Annual,San Mateo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,278"
2014,Annual,San Mateo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$135,131"
2022,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$75,720"
2022,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$33,607,554"
2021,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$33,642,845"
2021,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$76,910"
2020,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$68,801"
2020,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$30,839,511"
2019,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,306"
2019,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$27,936,118"
2018,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,706,505"
2018,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,649"
2017,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,012"
2017,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$25,499,526"
2016,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,873"
2016,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$24,476,667"
2015,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$24,099,747"
2015,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,318"
2014,Annual,Santa Barbara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$30,589"
2014,Annual,Santa Barbara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$89,903"
2022,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$144,399"
2022,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$270,162,197"
2021,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$144,552"
2021,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$272,711,739"
2020,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$124,637"
2020,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$240,677,946"
2019,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$112,459"
2019,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$218,542,457"
2018,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$106,567"
2018,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$207,881,196"
2017,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$97,652"
2017,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$190,293,049"
2016,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$90,105"
2016,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$175,007,448"
2015,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$83,773"
2015,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$161,471,908"
2014,Annual,Santa Clara County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,880"
2014,Annual,Santa Clara County,U.S. BEA - Local Data,Total Personal Income - BEA,"$128,243"
2022,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$86,365"
2022,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,832,350"
2021,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$88,997"
2021,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,183,258"
2020,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$78,299"
2020,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,176,826"
2019,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$69,302"
2019,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$18,933,052"
2018,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$64,845"
2018,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,767,743"
2017,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,065"
2017,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$17,075,441"
2016,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,504"
2016,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$16,070,715"
2015,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,902"
2015,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$15,572,810"
2014,Annual,Santa Cruz County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$33,241"
2014,Annual,Santa Cruz County,U.S. BEA - Local Data,Total Personal Income - BEA,"$91,983"
2022,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,120"
2022,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,791,945"
2021,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,546"
2021,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,926,304"
2020,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,246"
2020,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,325,879"
2019,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,744"
2019,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,334,396"
2018,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,843"
2018,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,976,743"
2017,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,714"
2017,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,748,179"
2016,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,305"
2016,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,447,216"
2015,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,252"
2015,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,237,895"
2014,Annual,Shasta County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$24,107"
2014,Annual,Shasta County,U.S. BEA - Local Data,Total Personal Income - BEA,"$59,740"
2022,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,877"
2022,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$154,021"
2021,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,767"
2021,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$154,098"
2020,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,192"
2020,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$145,880"
2019,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,733"
2019,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$135,131"
2018,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,756"
2018,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$127,577"
2017,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,612"
2017,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$124,641"
2016,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,831"
2016,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$118,828"
2015,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,501"
2015,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$114,905"
2014,Annual,Sierra County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,986"
2014,Annual,Sierra County,U.S. BEA - Local Data,Total Personal Income - BEA,"$65,938"
2022,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,788"
2022,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,261,048"
2021,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,474"
2021,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,310,238"
2020,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,301"
2020,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,168,815"
2019,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,420"
2019,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,923,781"
2018,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,268"
2018,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,868,074"
2017,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,411"
2017,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,828,306"
2016,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,621"
2016,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,780,504"
2015,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,585"
2015,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,727,276"
2014,Annual,Siskiyou County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$22,561"
2014,Annual,Siskiyou County,U.S. BEA - Local Data,Total Personal Income - BEA,"$50,890"
2022,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,273"
2022,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,149,679"
2021,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,873"
2021,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,963,798"
2020,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,029"
2020,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$25,816,822"
2019,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,540"
2019,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,350,113"
2018,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,566"
2018,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,899,263"
2017,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,644"
2017,Annual,Solano County,U.S. BEA - Local Data,Total Personal Income - BEA,"$20,892,491"
2016,Annual,Solano County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,447"
