Year,Period,Area,Income Source,Income Type,Income
2021,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,723"
2021,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,621,697"
2020,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,090"
2020,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,452,765"
2019,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,095"
2019,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,265,619"
2018,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,296"
2018,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,126,248"
2017,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,833"
2017,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,060,809"
2016,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,010"
2016,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,967,729"
2015,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,659"
2015,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,897,268"
2014,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,553"
2014,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$72,202"
2022,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,502"
2022,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,216,260"
2021,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,102"
2021,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,295,098"
2020,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,086"
2020,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,225,922"
2019,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,658"
2019,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$970,603"
2018,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,624"
2018,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$986,398"
2017,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,189"
2017,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$896,350"
2016,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,196"
2016,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$891,925"
2015,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,272"
2015,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$838,573"
2014,Annual,Colusa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,897"
2014,Annual,Colusa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$65,310"
2022,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$95,047"
2022,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$109,965,993"
2021,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$94,834"
2021,Annual,Contra Costa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$110,320,394"
2020,Annual,Contra Costa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$86,359"
