Year,Period,Area,Population Source,Population
2021,Annual,Mariposa County,California Dept of Finance,"17,015"
2020,Annual,Mariposa County,California Dept of Finance,"17,102"
2019,Annual,Mariposa County,California Dept of Finance,"17,213"
2018,Annual,Mariposa County,California Dept of Finance,"17,345"
2017,Annual,Mariposa County,California Dept of Finance,"17,502"
2016,Annual,Mariposa County,California Dept of Finance,"17,644"
2015,Annual,Mariposa County,California Dept of Finance,"17,732"
2014,Annual,Mariposa County,California Dept of Finance,"17,864"
2022,Annual,Mendocino County,California Dept of Finance,"89,960"
2021,Annual,Mendocino County,California Dept of Finance,"90,854"
2020,Annual,Mendocino County,California Dept of Finance,"91,319"
2019,Annual,Mendocino County,California Dept of Finance,"91,727"
2018,Annual,Mendocino County,California Dept of Finance,"91,726"
2017,Annual,Mendocino County,California Dept of Finance,"91,609"
2016,Annual,Mendocino County,California Dept of Finance,"91,021"
2015,Annual,Mendocino County,California Dept of Finance,"90,198"
2014,Annual,Mendocino County,California Dept of Finance,"88,545"
2022,Annual,Merced County,California Dept of Finance,"285,140"
2021,Annual,Merced County,California Dept of Finance,"281,695"
2020,Annual,Merced County,California Dept of Finance,"281,128"
2019,Annual,Merced County,California Dept of Finance,"278,157"
2018,Annual,Merced County,California Dept of Finance,"274,871"
2017,Annual,Merced County,California Dept of Finance,"272,610"
2016,Annual,Merced County,California Dept of Finance,"268,701"
2015,Annual,Merced County,California Dept of Finance,"267,099"
2014,Annual,Merced County,California Dept of Finance,"265,069"
2022,Annual,Modoc County,California Dept of Finance,"8,517"
2021,Annual,Modoc County,California Dept of Finance,"8,542"
2020,Annual,Modoc County,California Dept of Finance,"8,686"
2019,Annual,Modoc County,California Dept of Finance,"8,709"
2018,Annual,Modoc County,California Dept of Finance,"8,755"
2017,Annual,Modoc County,California Dept of Finance,"8,691"
2016,Annual,Modoc County,California Dept of Finance,"8,795"
2015,Annual,Modoc County,California Dept of Finance,"8,952"
2014,Annual,Modoc County,California Dept of Finance,"9,417"
2022,Annual,Mono County,California Dept of Finance,"13,185"
2021,Annual,Mono County,California Dept of Finance,"13,276"
2020,Annual,Mono County,California Dept of Finance,"13,368"
2019,Annual,Mono County,California Dept of Finance,"13,227"
2018,Annual,Mono County,California Dept of Finance,"13,222"
2017,Annual,Mono County,California Dept of Finance,"13,355"
2016,Annual,Mono County,California Dept of Finance,"13,389"
2015,Annual,Mono County,California Dept of Finance,"13,548"
2014,Annual,Mono County,California Dept of Finance,"14,560"
2022,Annual,Monterey County,California Dept of Finance,"436,843"
2021,Annual,Monterey County,California Dept of Finance,"438,349"
2020,Annual,Monterey County,California Dept of Finance,"439,762"
2019,Annual,Monterey County,California Dept of Finance,"440,874"
2018,Annual,Monterey County,California Dept of Finance,"439,618"
2017,Annual,Monterey County,California Dept of Finance,"438,011"
2016,Annual,Monterey County,California Dept of Finance,"437,116"
2015,Annual,Monterey County,California Dept of Finance,"433,478"
2014,Annual,Monterey County,California Dept of Finance,"425,365"
2022,Annual,Napa County,California Dept of Finance,"135,497"
2021,Annual,Napa County,California Dept of Finance,"136,891"
2020,Annual,Napa County,California Dept of Finance,"138,058"
2019,Annual,Napa County,California Dept of Finance,"138,965"
2018,Annual,Napa County,California Dept of Finance,"139,558"
2017,Annual,Napa County,California Dept of Finance,"140,299"
2016,Annual,Napa County,California Dept of Finance,"141,089"
2015,Annual,Napa County,California Dept of Finance,"140,955"
2014,Annual,Napa County,California Dept of Finance,"140,348"
2022,Annual,Nevada County,California Dept of Finance,"101,137"
2021,Annual,Nevada County,California Dept of Finance,"102,435"
2020,Annual,Nevada County,California Dept of Finance,"102,648"
2019,Annual,Nevada County,California Dept of Finance,"102,298"
2018,Annual,Nevada County,California Dept of Finance,"101,920"
2017,Annual,Nevada County,California Dept of Finance,"101,384"
2016,Annual,Nevada County,California Dept of Finance,"100,919"
2015,Annual,Nevada County,California Dept of Finance,"100,456"
2014,Annual,Nevada County,California Dept of Finance,"98,235"
2022,Annual,Orange County,California Dept of Finance,"3,154,042"
2021,Annual,Orange County,California Dept of Finance,"3,164,848"
2020,Annual,Orange County,California Dept of Finance,"3,188,652"
2019,Annual,Orange County,California Dept of Finance,"3,191,365"
2018,Annual,Orange County,California Dept of Finance,"3,193,464"
2017,Annual,Orange County,California Dept of Finance,"3,188,158"
2016,Annual,Orange County,California Dept of Finance,"3,170,359"
2015,Annual,Orange County,California Dept of Finance,"3,155,895"
2014,Annual,Orange County,California Dept of Finance,"3,132,681"
2022,Annual,Placer County,California Dept of Finance,"409,692"
2021,Annual,Placer County,California Dept of Finance,"408,769"
2020,Annual,Placer County,California Dept of Finance,"406,495"
2019,Annual,Placer County,California Dept of Finance,"401,671"
2018,Annual,Placer County,California Dept of Finance,"395,677"
2017,Annual,Placer County,California Dept of Finance,"388,773"
2016,Annual,Placer County,California Dept of Finance,"382,010"
2015,Annual,Placer County,California Dept of Finance,"376,215"
2014,Annual,Placer County,California Dept of Finance,"369,726"
2022,Annual,Plumas County,California Dept of Finance,"19,280"
2021,Annual,Plumas County,California Dept of Finance,"19,733"
2020,Annual,Plumas County,California Dept of Finance,"19,871"
2019,Annual,Plumas County,California Dept of Finance,"19,807"
2018,Annual,Plumas County,California Dept of Finance,"19,575"
2017,Annual,Plumas County,California Dept of Finance,"19,642"
2016,Annual,Plumas County,California Dept of Finance,"19,672"
2015,Annual,Plumas County,California Dept of Finance,"19,701"
2014,Annual,Plumas County,California Dept of Finance,"19,687"
2022,Annual,Riverside County,California Dept of Finance,"2,432,203"
2021,Annual,Riverside County,California Dept of Finance,"2,429,268"
2020,Annual,Riverside County,California Dept of Finance,"2,423,288"
2019,Annual,Riverside County,California Dept of Finance,"2,400,535"
2018,Annual,Riverside County,California Dept of Finance,"2,383,773"
2017,Annual,Riverside County,California Dept of Finance,"2,361,995"
2016,Annual,Riverside County,California Dept of Finance,"2,337,698"
2015,Annual,Riverside County,California Dept of Finance,"2,313,162"
2014,Annual,Riverside County,California Dept of Finance,"2,295,298"
2022,Annual,Sacramento County,California Dept of Finance,"1,578,644"
2021,Annual,Sacramento County,California Dept of Finance,"1,583,966"
2020,Annual,Sacramento County,California Dept of Finance,"1,587,542"
2019,Annual,Sacramento County,California Dept of Finance,"1,570,918"
2018,Annual,Sacramento County,California Dept of Finance,"1,554,668"
2017,Annual,Sacramento County,California Dept of Finance,"1,536,517"
2016,Annual,Sacramento County,California Dept of Finance,"1,520,401"
2015,Annual,Sacramento County,California Dept of Finance,"1,502,821"
2014,Annual,Sacramento County,California Dept of Finance,"1,460,480"
2022,Annual,San Benito County,California Dept of Finance,"65,481"
2021,Annual,San Benito County,California Dept of Finance,"65,182"
2020,Annual,San Benito County,California Dept of Finance,"64,450"
2019,Annual,San Benito County,California Dept of Finance,"63,282"
2018,Annual,San Benito County,California Dept of Finance,"61,848"
2017,Annual,San Benito County,California Dept of Finance,"60,733"
2016,Annual,San Benito County,California Dept of Finance,"60,087"
